# Az [deg],El [deg],UTC [s],Lat [deg],Lon [deg],X [px],Y [px],Flux [],Flux Radius [px],Metric
62.20553027495644,25.881370493040645,1578335881.0,-77.05419915244521 deg,157.4151915395255 deg,88.62733032499182,513.8084230304576,476925.51179266226,15,6284.150822004864
61.60864673059062,25.93194303832017,1578335899.0,-77.05448899865682 deg,157.41191086262478 deg,341.2091838324932,507.19531945977496,468871.907099636,14,6156.559008206234
61.43900468735175,25.939775641051614,1578335900.0,-77.05448899865682 deg,157.41191086262478 deg,422.0090268789995,507.3772244647564,451894.11080625624,14,6363.0331516633505
62.12553792178226,25.91735297871241,1578335906.0,-77.05509182513282 deg,157.4061583624792 deg,79.92848757995444,503.9499417221474,466407.5972590628,15,5484.204266136163
61.530399779193104,25.967503647526883,1578335924.0,-77.05538938269535 deg,157.40283192038714 deg,331.5144667168172,497.52492504903455,466616.28102964646,14,6612.658633814102
62.032006302027156,25.953460961600957,1578335931.0,-77.05599204153327 deg,157.39700314492273 deg,77.76539879243842,494.3457848506371,455625.77082504414,14,5459.035603171971
61.96888109619087,25.974630251281226,1578335956.0,-77.05691522434842 deg,157.3877562293456 deg,60.21859830677829,492.1189927901486,466084.0298822957,14,5490.248438881521
61.382849430218144,26.020100381681807,1578335975.0,-77.05722803697472 deg,157.3843535119347 deg,307.18683666953143,487.98090397906094,475643.744773707,14,6144.976239224137
61.20230307995411,26.028794676875517,1578335976.0,-77.05722803697472 deg,157.3843535119347 deg,393.1571931523781,487.9752881966863,454937.87303340656,14,5544.87874461207
61.87460802306225,26.001899995180697,1578335982.0,-77.05784595087641 deg,157.37844829351337 deg,58.06875469017734,487.3099057840868,472682.4041217664,14,5458.967860991379
61.264622717257765,26.09558096024645,1578336000.0,-77.05815876350272 deg,157.37504574374054 deg,317.6492098006536,457.6412043240556,469021.3350719769,15,5815.130338887047
61.10244338528951,26.108598467718082,1578336001.0,-77.05815876350272 deg,157.37504574374054 deg,394.9553340944067,454.81831105105175,462149.9113581732,15,5541.273417467948
61.83199270819562,26.124491611285805,1578336007.0,-77.05878438875533 deg,157.36915578038298 deg,33.42624299393515,429.52902521659564,506876.6432664676,14,6308.88272477343
61.242147378913536,26.285611216216534,1578336026.0,-77.05909720138163 deg,157.3657530629721 deg,285.44709386324894,362.71232282433243,510079.89496021374,14,6298.332603890363
61.06300366551593,26.29857157503079,1578336026.0,-77.05909720138163 deg,157.3657530629721 deg,370.80924423099077,360.35898625521247,481600.5507391141,15,5615.989573662688
61.74033915583669,26.306704015761277,1578336032.0,-77.05976088047463 deg,157.35955799833914 deg,34.54098179782693,340.52725016120644,521898.4940249232,15,5849.809638870469
60.99196479105481,26.47735872560426,1578336052.0,-77.0600431829734 deg,157.35653682516053 deg,361.6364305289869,272.731629894487,516803.54542440234,15,5688.168062002653
60.92456197519792,26.673011066783797,1578336077.0,-77.06102738604362 deg,157.34709159375439 deg,351.4922315390902,175.79057504064133,565929.4522857254,15,6560.778498701371
60.851020368623395,26.85718872760502,1578336102.0,-77.0619810789863 deg,157.33813469202693 deg,343.3789031161866,85.32269562133945,601386.1462512428,16,5858.719709466181
60.781511957731354,27.10861214360919,1578336127.0,-77.0629424832799 deg,157.32929983080962 deg,334.9178769219129,-41.69516139332683,613760.5492809155,17,5207.86708181366
60.723802449308835,27.282063513251284,1578336153.0,-77.0639112636483 deg,157.32055649997494 deg,318.4302467392731,-126.694338590227,482733.1337367392,18,3058.04802718833
60.6527457413064,27.468812064616383,1578336178.0,-77.06489546671851 deg,157.31188961209716 deg,308.7100420395003,-218.58727218894904,481874.6448006451,19,2974.100673491379
60.56755249099355,27.607637808111708,1578336204.0,-77.0658949248525 deg,157.30320730151755 deg,304.73050585125293,-284.1921676110338,483852.3271441221,19,3211.776635720602
60.40634050544377,27.92193547853674,1578336254.0,-77.06797011643933 deg,157.2854918138916 deg,293.09987864430786,-435.52805903526695,560353.2071839079,18,4737.885753757737
60.31369770150505,27.93049084177232,1578336280.0,-77.06900008470086 deg,157.27677899318448 deg,288.74337460489437,-430.2730823650448,583479.898155668,17,4696.71081523541
60.24627484029405,27.96674488963659,1578336305.0,-77.07002250924954 deg,157.2680510850516 deg,273.2752587170013,-440.72221471709463,573845.6907921645,18,4727.704228835102
60.149866648360565,28.00238713349465,1578336330.0,-77.07104476616014 deg,157.259368774472 deg,271.9593561934421,-450.1685328321067,579894.187857814,18,4710.859622292219
60.06115950705852,28.0312610763832,1578336356.0,-77.07206719070882 deg,157.25071697401992 deg,266.42389498830005,-456.0956421714361,591798.0551309678,18,4870.242552221485
59.97146090412924,28.067387717162312,1578336381.0,-77.07308944761944 deg,157.24215687158852 deg,261.3935719557869,-465.9183511325936,577356.6667108777,18,4765.7616489832
59.88633974997544,28.113501005866393,1578336407.0,-77.0741041608172 deg,157.23368829953975 deg,254.3529865814628,-481.2696281168619,591979.2007004311,18,4805.416413848365
59.79959395353981,28.130354829893015,1578336432.0,-77.07515709549341 deg,157.22496022376885 deg,247.67262564652435,-480.7959454858479,587131.9476603951,17,4790.634643705791
59.713023685495216,28.1637305375943,1578336457.0,-77.0761565536274 deg,157.21670522261283 deg,240.9715325737085,-489.22329417743066,606409.0224006716,18,4844.376996988285
59.63099897585565,28.199900868350948,1578336483.0,-77.07778918072685 deg,157.20344538707403 deg,234.4821436537045,-499.8588095805002,487688.31875829026,18,4083.8136397546423
59.5483586971847,28.246730436492964,1578336508.0,-77.07875058502046 deg,157.19537344668325 deg,226.2134789297313,-515.6888094282576,521222.17402188224,20,3957.381380553714
59.465589354322894,28.265654855119546,1578336534.0,-77.07975004315445 deg,157.18707268033592 deg,217.51993441454908,-516.4488885243911,513173.86457504495,19,4843.570587422635
58.37851037065354,28.481004590599486,1578336839.0,-77.09108723774412 deg,157.09739670997686 deg,149.11212627469774,-516.361964362184,469362.7509159489,20,3895.2943841180368
58.279168403115605,28.481160178611468,1578336864.0,-77.09206372946343 deg,157.09025566375215 deg,146.99947142426788,-506.57261613024554,524350.1723170847,19,3397.114020363617
58.1767394313805,28.476089425477287,1578336890.0,-77.09300216734235 deg,157.0834349738666 deg,145.97993936834575,-493.83676000230673,494348.1011494228,19,3233.6495247568528
58.07737988135113,28.47569967150939,1578336915.0,-77.09392535015749 deg,157.0766905592999 deg,143.73643313926686,-483.7441786698757,481509.15871325287,19,3137.209508316755
57.97806756828375,28.4744813057471,1578336940.0,-77.09482556655794 deg,157.06999190992448 deg,141.18213051322903,-473.16954081894613,511722.7065732774,18,3388.3560704022984
57.89150925647696,28.480554125155187,1578336966.0,-77.0957106955327 deg,157.06333919337845 deg,132.7131191136241,-466.87423854535615,499709.1546087516,19,3256.1657990716176
57.796176696742,28.484680878357906,1578336991.0,-77.0966033682203 deg,157.05647273830158 deg,128.7391124768302,-459.3766643450056,470869.06346706377,18,3172.301344219717
57.60644590418424,28.48801103253658,1578337042.0,-77.09832752570237 deg,157.04299916423193 deg,119.9669619805577,-441.72068580556885,543620.0552007357,18,3946.9277471540663
57.51197802737179,28.487457794730343,1578337067.0,-77.09913621172021 deg,157.0366515489613 deg,114.90652310132327,-431.63877359777354,562905.5037715527,19,4073.724766522988
57.41581243329909,28.482476796478412,1578337093.0,-77.0999831192165 deg,157.03007494009606 deg,110.52910438789911,-419.13942417369043,506002.4915257531,18,3311.186852066756
57.31903448786591,28.480704135061245,1578337118.0,-77.10083757042565 deg,157.02355951912395 deg,106.67370845713333,-408.404241633777,474961.7646330671,18,3051.9097259062783
57.223664495958346,28.478979977019968,1578337144.0,-77.10168447792196 deg,157.01715071596016 deg,102.01104714041003,-397.72199833715666,497805.08837035723,19,3233.8533743645003
57.130249639048806,28.47778933643938,1578337169.0,-77.10256943925864 deg,157.01060478486053 deg,96.53408486974445,-387.4212699744458,470294.99660422304,18,3209.502600022104
57.02558239586419,28.48531998618572,1578337195.0,-77.10339338034025 deg,157.00448599554642 deg,96.42183777211596,-381.52902225503306,558189.7804583898,18,3932.322290837754
56.925560565950036,28.49744907261119,1578337220.0,-77.10417926758147 deg,156.998718072699 deg,93.87239431793023,-378.19651036085247,480272.35328456433,19,2991.987336289787
56.82433695194142,28.504763315693808,1578337246.0,-77.10501846372685 deg,156.99256894089544 deg,92.01840833313054,-372.2942204405882,506385.248269647,19,3226.8127935731645
56.7313016211441,28.506413911736978,1578337271.0,-77.10582731738276 deg,156.98664846741033 deg,85.99472683366969,-363.51194902708744,517752.8405731951,19,3246.942913489169
56.64001858617941,28.510912995845036,1578337297.0,-77.10692584961222 deg,156.97840872131812 deg,80.3459409602001,-356.6017553468146,561016.5987787347,19,3965.1564295977005
56.55056581211407,28.509581377472514,1578337322.0,-77.1077650457576 deg,156.97232044213155 deg,72.737248376038,-346.3621570423742,583822.1612828808,19,3986.902622817197
56.34144962259674,28.50600037312161,1578337373.0,-77.10951216965435 deg,156.9596557217178 deg,71.94041313939863,-324.710744563801,505503.4777823842,19,3237.22562030283
56.247277052813786,28.50634925422552,1578337398.0,-77.11038204356534 deg,156.95336895906416 deg,66.63713272873315,-315.32318691567525,475085.4958354068,18,3125.404501685456
56.15152480913512,28.505125430670613,1578337424.0,-77.11126700490203 deg,156.94706710898484 deg,62.127607972642636,-305.076430467136,506391.85469786206,19,3874.3489327751995
56.05591092819817,28.50081922560697,1578337449.0,-77.11216722130249 deg,156.94079576903306 deg,57.21265376927499,-293.1436320476214,581944.7763525089,18,3879.091983034925
55.954276802137656,28.48961105039426,1578337475.0,-77.11308286040477 deg,156.9345549392088 deg,55.03552380402607,-277.34750117617375,538414.741324048,19,3407.031354995579
55.859589385866364,28.494665276975528,1578337500.0,-77.113998331869 deg,156.92840563976716 deg,50.22892824964424,-270.59502424873165,498259.6945540442,19,3209.868089633068
55.75788691609778,28.49747313053148,1578337525.0,-77.11490625962038 deg,156.92234787070814 deg,48.647743258065475,-262.45511513240825,604224.2593770713,19,4097.672417246906
55.658546178385286,28.50151426643241,1578337551.0,-77.11583698614838 deg,156.91612229594764 deg,45.947736725356094,-255.0620203945378,531622.9353047635,19,3340.178602315429
55.54926787481008,28.500827379031385,1578337576.0,-77.11673720254883 deg,156.91015605727125 deg,47.549515042835765,-244.81905896026728,531731.7053596098,18,3726.144248038241
55.4528040545981,28.504359229831582,1578337602.0,-77.11761462017267 deg,156.9041899862329 deg,42.83737042825737,-237.14118696861016,523523.6955059114,19,3244.98025461428
55.34483288755103,28.496794618394286,1578337627.0,-77.1184920377965 deg,156.89819323742896 deg,43.63949958724493,-223.2258739307518,513961.448677883,18,3398.292850629974
55.2552810056554,28.49738428149729,1578337653.0,-77.1193389452928 deg,156.89216597849747 deg,35.70814211682159,-214.16662745233123,548395.9770957666,20,3489.2567756686567
55.06835353466536,28.502409158866154,1578337704.0,-77.12100979387071 deg,156.87979110429535 deg,23.79472211108839,-197.9971367900162,483085.05043310585,19,3247.286685593501
54.97169565963976,28.50564623708592,1578337730.0,-77.12181847988855 deg,156.87370282510878 deg,19.319929835520952,-190.2323126049531,518412.82291666535,19,3482.802083333334
54.884302035929984,28.511249033237927,1578337755.0,-77.12261945455548 deg,156.8676147135603 deg,10.445633285943813,-183.98432616718952,522622.5634981513,18,3262.5740253370914
54.789909693876375,28.50204347854494,1578337781.0,-77.123451106988 deg,156.86152643437373 deg,4.58151147979288,-169.57028104680182,512074.5748093521,20,3262.678927663572
54.69167958288314,28.512954842091926,1578337806.0,-77.12428275942052 deg,156.8554076450596 deg,1.2109889106110359,-166.0061615043541,463526.80496242095,18,3329.9723668213974
54.48933453513678,28.512257963399282,1578337857.0,-77.12604513838106 deg,156.8429870056662 deg,-3.6111657622548137,-146.56250576883582,519423.489914209,19,3202.9285249502645
54.39444633812452,28.51385043351208,1578337883.0,-77.1269683211962 deg,156.8366392227575 deg,-9.015758726601348,-138.07909027249087,464430.7207504434,18,3420.183264948055
54.29456376946442,28.518672281487664,1578337908.0,-77.1278152286925 deg,156.83076468210177 deg,-12.001141936173553,-131.20705944877125,526670.8761369908,20,3305.559064848585
54.19485782373804,28.511429021632544,1578337934.0,-77.1287229888058 deg,156.8246153826601 deg,-15.303361706596775,-117.84700174785775,514678.0022263198,19,3299.080579271662
53.99419980498746,28.511271037173945,1578337985.0,-77.13061511962741 deg,156.81169115852424 deg,-20.61479622796378,-98.98868966618079,522370.7563909162,19,3293.4661513594165
53.79865487871432,28.50242619200957,1578338036.0,-77.13238520993885 deg,156.79940781470472 deg,-28.85954989343452,-75.5278510347274,536060.7463969919,20,3296.405117843722
53.695545649351324,28.506616142562425,1578338061.0,-77.13327771498838 deg,156.79313647475294 deg,-30.161375261449734,-68.37173157490196,569518.7160919558,19,3982.4553658267014
53.596472970076384,28.50282486629551,1578338087.0,-77.13414758889937 deg,156.78686513480113 deg,-33.688657897528174,-56.9812824357972,575571.4915941368,18,3966.1302919153404
53.48988628658168,28.504186629413788,1578338113.0,-77.13500204010852 deg,156.78060904991312 deg,-33.51535589198579,-48.2106446353838,627240.7547745334,17,8655.376248894783
53.3988322152859,28.507868744514766,1578338138.0,-77.1358412362539 deg,156.7743529650251 deg,-40.61664458108635,-41.096914603437995,601268.8446949618,19,3993.81510831123
53.29895339756866,28.509040968373927,1578338164.0,-77.13664992227174 deg,156.7680816250733 deg,-43.79153005027899,-32.38229717969648,497145.1089038992,19,3104.4911631023424
53.203817789438204,28.511721075359876,1578338189.0,-77.13748928605519 deg,156.76152027127182 deg,-48.895593241958295,-24.669483394139775,485386.8662273419,20,3169.6528031056587
53.10543522847617,28.520610971990077,1578338215.0,-77.13829797207302 deg,156.75517265600118 deg,-52.447348059417436,-20.227857329956294,526501.5512696193,20,3144.3741206620252
53.01118392329467,28.50925702594699,1578338240.0,-77.13910665809087 deg,156.74874859777364 deg,-58.699701211670344,-4.897343221996721,549253.8460937488,18,3760.9598329741384
52.91071634832288,28.493750093651627,1578338266.0,-77.13993831052339 deg,156.74226368692905 deg,-62.0523733787104,12.804719849891285,469135.0360991388,17,3111.251467175067
52.80923993386781,28.472021173584317,1578338292.0,-77.14077750666877 deg,156.73568707806382 deg,-64.99119249716125,33.87227385209826,519756.6208181347,18,3813.024448773209
52.71117975202406,28.450565886689795,1578338317.0,-77.14163195787792 deg,156.72906487164533 deg,-69.37332209273552,54.66156905832406,458652.7684350119,18,3092.493585599028
52.6086200646683,28.419097742491818,1578338343.0,-77.14249412043799 deg,156.72239673239747 deg,-72.18269226310508,81.01327488985089,461437.1652519902,17,3108.0477356874453
52.504216999948916,28.395943248293513,1578338369.0,-77.14340204818936 deg,156.7154845121293 deg,-73.65134781674158,102.83382698803587,469334.73027188197,18,3100.872375110521
52.11295238529848,28.299894400847077,1578338471.0,-77.14718614219449 deg,156.68582145972485 deg,-91.09173518316925,190.96631623062967,451895.2026746241,17,3175.692567418215
51.91257554655503,28.285720654774863,1578338522.0,-77.14862045346494 deg,156.6732328469919 deg,-97.64811122334174,216.99739128249882,506573.781921418,18,3870.8644189323604
51.80774672395438,28.271991285065152,1578338548.0,-77.14929184390886 deg,156.66706829248648 deg,-98.79599236954039,233.70595104968993,452280.1431262433,17,3915.610963058134
51.406855232146,28.207500018065172,1578338650.0,-77.15180959998307 deg,156.6417998719141 deg,-112.82142330431077,305.23917118369843,451261.05764602526,16,3843.662930343722
