# Az [deg],El [deg],UTC [s],Lat [deg],Lon [deg],X [px],Y [px],Flux [],Flux Radius [px],Metric
62.23640623768031,26.02836455392979,1578336065.0,-77.06102738604362 deg,157.34709159375439 deg,-275.42069658455057,489.0953274392658,574050.560258484,16,6136.431772905615
62.16365065120659,26.200509834282478,1578336090.0,-77.0619810789863 deg,157.33813469202693 deg,-284.0977652776213,405.1386273266761,612978.484154649,16,6084.588922275641
62.08778089700895,26.45191620654627,1578336115.0,-77.0629424832799 deg,157.32929983080962 deg,-289.03185513828635,278.24081935959316,662894.9764367834,17,6293.67777133068
62.022666243238916,26.637217890106037,1578336141.0,-77.0639112636483 deg,157.32055649997494 deg,-301.50726157281673,187.0061857893338,688460.6659862646,18,6375.975419291557
61.951860377885055,26.815363042944128,1578336166.0,-77.06489546671851 deg,157.31188961209716 deg,-311.4695637934198,99.78285995326053,598379.8542274543,20,3224.637618810786
61.86744814431944,26.98547852058225,1578336191.0,-77.0658949248525 deg,157.30320730151755 deg,-314.8771769677443,17.199678872837126,648812.0312368731,20,3587.957319987843
61.71119918593325,27.33779731636194,1578336242.0,-77.06797011643933 deg,157.2854918138916 deg,-327.4248308393211,-154.89662798045907,754424.4978717645,20,5112.923213002874
61.608702845920696,27.366311777349992,1578336268.0,-77.06900008470086 deg,157.27677899318448 deg,-326.3666928240728,-160.21508786029602,746343.7917799522,20,5134.9801212975235
61.53133831336841,27.380093889403103,1578336293.0,-77.07002250924954 deg,157.2680510850516 deg,-337.82486608712094,-158.17520347556052,736932.7961566098,21,4942.163344109196
61.441026562649384,27.423987689434046,1578336318.0,-77.07104476616014 deg,157.259368774472 deg,-341.8514057842197,-172.22061084228415,713319.8143236036,19,5134.224226348364
61.34898592309743,27.456859271892792,1578336344.0,-77.07206719070882 deg,157.25071697401992 deg,-345.3964076732617,-180.25025615048816,657820.4772877989,19,5138.3966069849685
61.264581312461075,27.495359306986888,1578336369.0,-77.07308944761944 deg,157.24215687158852 deg,-352.6425423606223,-191.50659263325792,739746.6320070716,20,5147.713406277631
61.17507394549089,27.53190811362602,1578336394.0,-77.0741041608172 deg,157.23368829953975 deg,-357.66408033682194,-201.56083283657426,745885.7702061189,20,5205.571090296198
61.08658622069685,27.554466455889404,1578336420.0,-77.07515709549341 deg,157.22496022376885 deg,-363.46381321879863,-204.09253239883668,722260.0009560116,20,5038.896698165341
60.995508891143515,27.590352913669076,1578336445.0,-77.0761565536274 deg,157.21670522261283 deg,-367.85590929755296,-213.7540503475273,736540.4986806499,20,5464.69799472259
60.91273418656354,27.624914825559657,1578336471.0,-77.07714830041049 deg,157.20852649677568 deg,-376.2600963055701,-222.91678840665782,662285.9533135783,20,3791.260856681034
60.831436510227036,27.662097569260894,1578336496.0,-77.07811724841693 deg,157.20043930132113 deg,-385.41513643514384,-233.52612050281056,674801.6027202122,20,3900.809276912025
60.74284524525282,27.705204461983495,1578336522.0,-77.07907865271054 deg,157.19241329375973 deg,-390.8487974587821,-247.18777665322,698339.6460647392,20,4526.203397850353
60.65920092576098,27.732662219262096,1578336547.0,-77.08002463430229 deg,157.18443288375155 deg,-398.94013434293964,-252.5160634776861,659790.7915450953,19,3955.884391578249
60.57440146607639,27.77012396441278,1578336572.0,-77.08100883737252 deg,157.17619313765934 deg,-406.1144323101836,-263.28154874941583,697430.4642490032,20,4516.501842257958
58.25734762149372,27.82973596700779,1578336584.0,-77.08164200633799 deg,157.17123406846784 deg,688.9190511432435,-235.31022125148263,586258.9341014571,15,4744.999633896994
60.485437325418964,27.806561018979554,1578336598.0,-77.0820005841556 deg,157.1679991567584 deg,-411.6604123180616,-273.3496290400138,685078.56929708,20,4602.344038737843
58.17171695009763,27.8626596323701,1578336610.0,-77.0825881555678 deg,157.16340620909736 deg,681.3692954652524,-243.5371827385285,621212.248516247,18,4659.515924099249
60.39675409327073,27.836404417135626,1578336623.0,-77.08290851190696 deg,157.1605223314927 deg,-417.66126247193637,-279.81355988704127,635763.0447647283,20,3861.7406160201153
58.08283129209566,27.899763954481962,1578336635.0,-77.08354184851049 deg,157.1556547926838 deg,675.5650926239066,-253.9780760511528,621062.1557049893,19,4087.162133206233
60.30823740465415,27.87623866520733,1578336648.0,-77.08386220484965 deg,157.15278617014292 deg,-423.4161019591915,-291.7374717498618,637111.612143568,20,3870.9646082007075
57.973057952337136,27.928754771183087,1578336661.0,-77.08448011875134 deg,157.14801016171666 deg,679.3390119674768,-259.4742048861123,659434.9232758607,18,6879.96116959549
60.218354158824035,27.897007757099935,1578336674.0,-77.08480064272857 deg,157.14518730436706 deg,-429.22183545092173,-293.26635976077887,639163.4373342176,19,3878.718488892573
57.89392915508861,27.956430709887968,1578336686.0,-77.08543381169403 deg,157.14047231619585 deg,668.4069111644123,-265.04167177891344,648633.4923346306,19,4790.0296453636165
60.123219405451195,27.91031217502729,1578336699.0,-77.08582289963917 deg,157.13711536397628 deg,-432.61374894854623,-290.67254485113443,655843.374397659,20,4080.98923933466
57.788876791014964,27.964462683795706,1578336712.0,-77.0864104710514 deg,157.13276666497362 deg,668.9686993619853,-259.26929471118905,588603.950213445,19,4085.1802449436345
60.049400794948426,27.919971573152203,1578336725.0,-77.0867232836777 deg,157.1300658481342 deg,-447.2668168198495,-286.45825061743903,636168.6812555233,19,3852.4672855879744
57.74692141659693,27.96422991363389,1578336737.0,-77.08733365386654 deg,157.1255034106007 deg,639.0323474019533,-250.57413217492848,656345.9958443838,19,4755.4106957338645
59.97823699406011,27.92135742636621,1578336750.0,-77.0876540102057 deg,157.12284835895255 deg,-462.8065892526905,-277.94189274691615,634176.5976458869,19,3878.9566568578684
59.946191472326426,27.925568532136875,1578336753.0,-77.0876540102057 deg,157.12284835895255 deg,-453.25059349990363,-278.5023314176782,633289.4244418634,20,3856.194954686118
57.66477018033951,27.967243152855207,1578336763.0,-77.08827192410739 deg,157.1183471093122 deg,628.6040248473582,-242.68355360720363,648602.4940642983,19,4591.775991241158
59.894586926846365,27.924946785745007,1578336776.0,-77.0885847367337 deg,157.1157225677916 deg,-472.260143772588,-270.3310737611877,665529.5021441202,18,4846.4799202862505
57.5723586818414,27.966466651965728,1578336788.0,-77.08920281827345 deg,157.11129742583205 deg,623.0465172596082,-232.50343129101543,627322.9192915555,19,4213.113269507074
59.797852718077024,27.92308896632074,1578336801.0,-77.08955368474014 deg,157.10839829316362 deg,-475.4474007684821,-259.49020916018287,600550.6584445462,19,3828.445430620026
57.46874539026762,27.967947612689564,1578336813.0,-77.09017930999275 deg,157.10403433909718 deg,622.8402093253374,-223.28682257929012,618742.3027119255,19,4074.671052995138
57.34218842579143,27.971908085681203,1578336839.0,-77.09108723774412 deg,157.09739670997686 deg,633.6552003390127,-214.8329936353786,662209.5954920978,19,4772.785820761494
59.56691066506376,27.925875770316996,1578336852.0,-77.09140005037042 deg,157.09481793364756 deg,-464.37326393001524,-240.3141799909709,627423.4030863162,19,3829.794080874226
57.24148478120451,27.969247071559753,1578336864.0,-77.09206372946343 deg,157.09025566375215 deg,632.0512421413705,-203.4889521150822,531081.2216670815,19,3803.4723647491155
59.47002454553909,27.92542551097402,1578336877.0,-77.0923460319622 deg,157.0879667336345 deg,-467.6323129689158,-230.24153222975457,589747.8033135773,19,3636.686892821617
57.14191640318283,27.96525143371499,1578336890.0,-77.09300216734235 deg,157.0834349738666 deg,629.6187224977959,-191.4131712111818,597280.9112649186,18,4019.7043393567637
59.37745308456176,27.924867938815346,1578336903.0,-77.0933912552875 deg,157.08035261279485 deg,-472.7049453142197,-220.30425119610027,590410.7409095953,20,3733.0851859526974
57.04356821292738,27.96503824209149,1578336915.0,-77.09392535015749 deg,157.0766905592999 deg,626.8188913140148,-181.4466414835506,614267.4060759272,19,3981.609937278956
59.28132256234448,27.92899056425378,1578336928.0,-77.09423061907094 deg,157.07417280322568 deg,-476.7464163820329,-212.6405559096558,619707.0171881933,20,3822.5923484471714
56.94415999840422,27.963884966663937,1578336940.0,-77.09482556655794 deg,157.06999190992448 deg,624.1993663718849,-170.90466203112476,602743.1771448097,19,4010.432756548409
59.18249827094197,27.934666927584914,1578336954.0,-77.09512312412048 deg,157.06750483161588 deg,-479.3564556111912,-205.80039282155548,620188.3614555722,19,3940.5103572612734
56.85619119953722,27.969802463953688,1578336966.0,-77.0957106955327 deg,157.06333919337845 deg,616.3435637178927,-164.49839975166174,516661.30266978865,19,3994.1011197225907
59.09115649463341,27.936054608460463,1578336979.0,-77.09600054174432 deg,157.06086720249556 deg,-485.34875406817764,-196.87830076702437,636859.9452199386,19,4034.821801779399
56.763873874421044,27.97571593308371,1578336991.0,-77.0966033682203 deg,157.05647273830158 deg,610.863556737457,-158.0444428024523,623495.9989493511,20,4018.045244114721
58.9978458998034,27.941880619024964,1578337004.0,-77.09688550308101 deg,157.05400074741868 deg,-490.1021321873875,-190.35886079188055,645678.740978667,19,4312.938004255084
58.905098382403445,27.94325330761357,1578337030.0,-77.09773241057731 deg,157.0473936284259 deg,-495.58141304058324,-181.38829809753048,624218.9201239211,19,3817.915274784482
56.575589046269926,27.979857702787726,1578337042.0,-77.09832752570237 deg,157.04299916423193 deg,601.2741122474822,-140.87573315362943,660722.4477826583,19,4682.823962477896
58.81770489800894,27.94479891487297,1578337055.0,-77.09857160672269 deg,157.0407866770712 deg,-503.741812174604,-172.63705055762188,580653.72736171,18,3552.9444677000447
56.48108798075695,27.979640395694634,1578337067.0,-77.09913621172021 deg,157.0366515489613 deg,596.1173599446117,-130.97368158155024,655663.9106501454,19,4568.501858145446
58.718063682426035,27.936761198796464,1578337081.0,-77.09941851421898 deg,157.0341795580784 deg,-506.4188912177135,-158.38431770794836,647314.3186671097,19,4450.463958885941
56.38573358696616,27.975038056253375,1578337093.0,-77.0999831192165 deg,157.03007494009606 deg,591.3004316131858,-118.70734154153917,622607.1939033475,19,3931.147528459329
58.62814861379881,27.936923096441156,1578337106.0,-77.10026542171528 deg,157.027618371915 deg,-513.2376653909187,-148.8787066493731,602861.2956917264,19,3671.633314682802
56.2885351285625,27.973070980437033,1578337118.0,-77.10083757042565 deg,157.02355951912395 deg,587.5921452794819,-107.8657677931015,545666.3101306924,18,3866.7016322667987
58.52551338978925,27.93716906455244,1578337132.0,-77.10111987292443 deg,157.02113329343237 deg,-514.289790324073,-139.0724087620216,634987.6473509347,19,4377.283472176172
56.195160052874506,27.972274107082143,1578337144.0,-77.10168447792196 deg,157.01715071596016 deg,581.895054579842,-97.73661690770467,619631.5684571161,19,3866.2168234692745
58.43144615396903,27.930927156702953,1578337157.0,-77.10196678042072 deg,157.01475516803418 deg,-519.5079302453493,-125.98821935939532,589288.8549865976,18,3928.326326950708
56.102742405850165,27.97207808836388,1578337169.0,-77.10256943925864 deg,157.01060478486053 deg,575.8588277353654,-88.0001442286495,622463.0986944605,19,3868.805746435677
58.3333577801372,27.934943070272222,1578337182.0,-77.10284419804456 deg,157.00828534461533 deg,-522.4143074674009,-118.41026089213841,602375.4236267672,18,3876.616249447392
55.99809422697,27.979547356446837,1578337195.0,-77.10339338034025 deg,157.00448599554642 deg,575.6629837680293,-82.0808874656642,653873.7974407338,19,4538.659716926393
58.23614457971914,27.943492236272533,1578337208.0,-77.10366813912617 deg,157.0022124881306 deg,-526.2412306839615,-113.21461699203343,570667.1601044433,19,3640.362667164014
55.89831519789226,27.991636493433777,1578337220.0,-77.10417926758147 deg,156.998718072699 deg,572.9415158241536,-78.74135012923165,633594.7727370696,20,3835.8041217672417
58.13087192639875,27.950813128638618,1578337233.0,-77.104476825144 deg,156.9962309943904 deg,-526.006099581455,-107.20085053843349,585751.6286140578,19,3647.9893180813433
55.795618914073984,27.99857872808702,1578337246.0,-77.10501846372685 deg,156.99256894089544 deg,571.673281338697,-72.6013745588312,577080.1195402299,20,3821.0582670203366
58.03519330548483,27.960269700612827,1578337259.0,-77.10528551116185 deg,156.9903257759691 deg,-530.5877871601874,-102.5538869508485,573245.179465078,18,3660.934808797525
55.70459247448777,28.00124324757772,1578337271.0,-77.10582731738276 deg,156.98664846741033 deg,564.6220358942919,-64.42111961573056,645175.2461745671,20,3932.5651545921755
57.94558759763602,27.962287857815344,1578337284.0,-77.1061019085306 deg,156.98440547012206 deg,-538.1125076259916,-94.06473787356197,571866.203771553,19,3687.5669989224134
55.61413921667182,28.006448845746554,1578337297.0,-77.10692584961222 deg,156.97840872131812 deg,558.510067873133,-57.91788070964719,678338.222196896,20,4465.915839135721
57.848122850217074,27.963701259851845,1578337310.0,-77.10692584961222 deg,156.97840872131812 deg,-541.8600458484136,-85.07704359984751,569237.2366047744,18,3666.0057250221034
